temperature,humidity,pressure,vibration,power_consumption,noise_level,target,target_name
30.92,71.92,1010.55,2.863,151.77,61.58,1,warning
25.5,39.8,1011.65,0.015,109.68,46.84,0,normal
34.48,53.57,1008.59,0.119,183.23,64.3,1,warning
25.01,58.18,1005.55,1.987,79.6,43.73,0,normal
23.67,53.77,1016.78,0.637,86.17,46.93,0,normal
28.74,73.64,1017.1,0.464,141.58,60.09,1,warning
42.89,58.3,1016.79,0.847,145.32,63.73,1,warning
20.96,57.43,1013.85,2.08,97.24,33.56,0,normal
28.54,45.31,1004.43,1.752,120.31,41.38,0,normal
39.45,83.38,988.0,2.454,198.09,77.24,2,critical
27.66,58.94,1016.77,0.038,87.41,38.45,0,normal
28.32,61.87,1016.19,0.25,82.85,36.14,0,normal
41.27,81.9,1010.43,2.425,225.47,79.4,2,critical
20.18,52.03,1009.22,0.01,78.67,34.69,0,normal
31.38,71.21,1022.38,7.461,163.46,64.73,1,warning
38.72,68.19,1004.81,0.997,176.43,61.98,1,warning
44.28,88.54,993.54,1.682,166.85,82.21,2,critical
24.26,42.46,1008.55,1.806,87.76,44.39,0,normal
27.09,78.95,1006.14,0.596,152.94,61.16,1,warning
50.06,79.72,1010.48,0.988,212.63,82.44,2,critical
47.77,91.76,999.27,6.767,157.84,46.75,2,critical
38.25,81.6,1015.54,9.823,148.88,70.76,2,critical
32.59,60.47,1010.98,0.459,182.49,57.12,1,warning
31.53,65.91,1005.81,2.762,153.05,54.99,1,warning
19.89,49.44,1014.92,0.339,99.51,45.61,0,normal
54.77,92.41,983.52,1.533,205.16,85.53,2,critical
53.75,89.16,985.33,1.246,212.26,76.92,2,critical
21.29,55.24,1009.33,0.993,97.22,39.35,0,normal
26.71,41.25,1011.0,0.79,109.49,51.35,0,normal
31.06,63.79,1008.65,0.63,140.56,60.49,1,warning
52.99,81.82,1027.3,5.509,189.95,83.42,2,critical
22.35,67.14,1018.81,1.939,189.17,56.42,1,warning
66.45,75.95,1007.1,0.988,172.21,69.63,2,critical
22.6,68.12,1014.79,1.024,113.43,43.18,0,normal
19.83,44.38,1007.94,0.173,104.71,36.48,0,normal
29.1,85.73,1012.0,3.587,113.98,55.66,1,warning
61.09,77.03,995.8,10.023,185.63,71.37,2,critical
23.65,56.23,1007.66,1.54,97.86,33.16,0,normal
24.1,47.25,1016.76,0.135,89.22,44.47,0,normal
26.37,50.7,1017.92,2.478,101.47,36.13,0,normal
31.79,74.88,1024.43,0.568,146.18,71.14,1,warning
25.8,77.84,1004.94,0.027,87.09,38.08,0,normal
52.66,92.05,994.3,0.842,199.06,71.52,2,critical
21.26,61.08,1009.46,0.07,99.3,42.39,0,normal
27.22,45.48,1016.89,0.243,93.3,44.28,0,normal
20.68,48.77,1012.62,0.069,105.5,35.3,0,normal
26.49,48.62,1016.24,0.085,122.85,41.4,0,normal
22.31,58.35,1014.48,0.32,105.42,36.77,0,normal
46.04,82.65,992.08,1.617,210.31,79.51,2,critical
26.76,71.9,1008.05,0.021,91.51,48.53,0,normal
29.65,51.16,1018.9,0.401,101.01,45.13,0,normal
23.12,53.96,1015.47,0.099,103.91,41.62,0,normal
27.96,46.48,1014.21,0.039,99.48,48.85,0,normal
55.55,81.86,1015.9,1.442,218.51,91.12,2,critical
22.25,49.69,1023.02,0.481,103.02,45.25,0,normal
27.56,47.29,1009.93,1.498,101.45,42.98,0,normal
23.16,46.12,1014.43,0.532,105.02,35.75,0,normal
30.66,51.75,1014.29,1.641,98.88,39.91,0,normal
22.03,38.96,1013.9,0.186,120.88,47.57,0,normal
23.46,39.41,1012.69,0.551,114.33,37.77,0,normal
61.82,75.66,1003.25,1.024,167.08,70.91,2,critical
38.48,79.55,1010.71,1.16,179.55,56.55,1,warning
39.23,88.4,1004.04,0.644,170.01,54.64,1,warning
46.3,80.1,1015.78,1.779,185.38,76.48,2,critical
23.57,41.85,1010.2,0.046,98.39,34.82,0,normal
23.4,32.12,1014.79,0.447,92.92,45.44,0,normal
57.53,88.97,1000.66,0.344,181.8,82.11,2,critical
24.24,37.52,1021.16,0.504,78.55,39.36,0,normal
20.88,33.86,1020.36,1.113,96.86,45.71,0,normal
35.16,72.14,1008.48,0.664,152.12,64.68,1,warning
38.18,57.61,1010.48,0.886,155.55,53.16,1,warning
22.9,97.16,1007.84,4.014,148.9,62.28,1,warning
44.06,69.17,1003.37,1.326,158.73,67.23,1,warning
41.59,68.82,993.03,1.363,137.84,56.01,1,warning
31.93,62.92,1012.74,0.968,106.96,54.25,1,warning
34.48,68.31,1010.56,0.132,173.24,62.78,1,warning
34.86,87.72,1023.29,2.901,140.86,62.84,1,warning
25.84,25.48,1008.49,0.16,100.08,40.23,0,normal
62.1,96.17,1006.22,6.967,202.51,94.1,2,critical
53.93,80.7,1001.0,5.496,220.37,76.98,2,critical
28.62,41.83,1014.84,0.892,94.1,38.87,0,normal
24.17,26.98,1005.42,0.31,120.5,44.26,0,normal
74.5,76.17,995.31,4.25,211.59,77.96,2,critical
30.39,56.41,1010.14,0.092,108.59,41.38,0,normal
